,id,qid1,qid2,Clean_q1_lem,Clean_q2_lem,is_duplicate,q1_len,q2_len,q1_num_words,q2_num_words,word_common,word_total,word_share,cwc_min,cwc_max,csc_min,csc_max,ctc_min,ctc_max,last_word_eq,first_word_eq,abs_len_diff,mean_len,longest_substr_ratio,fuzz_ratio,fuzz_partial_ratio,token_sort_ratio,token_set_ratio
398782,398782,496695,532029,what is the best marketing automation tool for small and mid size companies,what is the best marketing automation tool for small and mid sized companies,1,75,76,13,13,12,26,0.46,0.874989062636717,0.874989062636717,0.9999750006249845,0.9999750006249845,0.9166590278414347,0.9166590278414347,1,1,0,12.0,0.8441558441558441,99,99,99,99
115086,115086,187729,187730,i am poor but i want to invest  what should i do,i am quite poor and i want to be very rich  what do i do,0,48,56,13,16,8,24,0.33,0.8333194446759221,0.7142755103498521,0.49998750031249223,0.3333277778703688,0.5833284722627311,0.4666635555762962,1,1,3,13.5,0.22,69,67,65,74
327711,327711,454161,454162,i am from india and live abroad  i met a guy from france in a party i want to date him  how do i do that,t i e t to thapar university to thapar university institute of engineering and technology  can anyone explain this shit,0,104,119,28,21,4,38,0.11,0.0,0.0,0.49998750031249223,0.28571020413994086,0.11764636678607773,0.07999968000128,0,0,8,21.0,0.04716981132075472,26,28,34,43
367788,367788,498109,491396,why do so many people in the u s  hate the southern states,my boyfriend doesnt feel guilty when he hurts me  he cried when he was telling me how he killed a cat when he was young  could he be a psychopath,0,58,145,14,32,1,34,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,21.0,0.05,29,37,23,30
151235,151235,237843,50930,consequences of bhopal gas tragedy,what was the reason behind the bhopal gas tragedy,0,34,49,5,9,3,13,0.23,0.7499812504687383,0.49999166680555324,0.0,0.0,0.5999880002399952,0.33332962967078145,1,0,4,7.0,0.5555555555555556,55,71,48,69
244531,244531,145041,264664,i killed a snake on a friday  there is a belief that when you kill a snake on a friday it will certainly take revenge  will i be killed,do snakes really take revenge,0,135,29,31,5,2,25,0.08,0.1999960000799984,0.07692248521165222,0.0,0.0,0.1999960000799984,0.035714158163720845,0,0,23,16.5,0.4838709677419355,33,57,30,59
16633,16633,31698,31699,is the royal family a net gain or a net loss to the british taxpayer,why does the british royal family think it is ok to take taxpayers money for trips  etc   when they have so much money of their own  is it time to stop paying for all that and things related in our current economic climate,0,68,222,15,47,6,51,0.12,0.37499531255859303,0.1428564625882734,0.49998750031249223,0.11111049383058984,0.33333111112592584,0.11904733560158189,0,0,27,28.5,0.2,1,29,14,68
396316,396316,529365,529366,if a huge asteroid was about to hit earth in x year  would we be able to find survival solutions in due time,a 100 mile wide asteroid is projected to hit earth in 50 years  how would humanity survive,0,108,90,24,18,8,40,0.2,0.3333305555787035,0.28571224491253633,0.6666444451851604,0.28571020413994086,0.399997333351111,0.2608684310068217,0,0,8,19.0,0.18478260869565216,58,59,59,60
399493,399493,532771,456968,what would happen if a woman took viagra,does viagra really work,0,40,23,8,4,1,12,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,6.0,0.28,29,50,35,41
15268,15268,29183,29184,how could i improve my love to my girlfriend,how do i improve my relationship with my girlfriend,0,44,51,9,9,5,16,0.31,0.7999840003199936,0.6666555557407376,0.49997500124993743,0.3333222225925802,0.5555493827846357,0.5555493827846357,1,1,0,9.0,0.32608695652173914,78,71,74,79
397107,397107,289878,129130,do you love your country  why,what do you love most about your country,0,29,40,7,8,5,15,0.33,0.6666444451851604,0.49998750031249223,0.9999500024998749,0.3999920001599968,0.6666555557407376,0.499993750078124,0,0,2,7.0,0.45161290322580644,70,65,79,92
12536,12536,24147,24148,can i take nyquil and sudafed at the same time,what are the dangers of taking cymbalta and valium at the same time,0,46,67,10,13,5,22,0.23,0.1666638889351844,0.1666638889351844,0.9999750006249845,0.6666555557407376,0.4999950000499995,0.38461242605826107,1,0,3,11.5,0.375,58,67,53,61
138100,138100,142772,162933,what are some funny lies of narendra modi,what are some trolls on narendra modi,1,41,37,8,7,5,15,0.33,0.7499812504687383,0.5999880002399952,0.6666444451851604,0.6666444451851604,0.7142755103498521,0.6249921875976551,1,1,1,7.5,0.38461538461538464,82,76,74,84
20476,20476,38622,38623,is there is a chance of rejection of jio sim after we get the first message,is there any chance i can get a job after being rejected  they have not filled the position yet  what can i do to increase my chances,0,75,133,16,29,7,40,0.18,0.37499531255859303,0.23076745563495665,0.5714204082798817,0.363633057881292,0.43749726564208974,0.2692297337317933,0,1,10,21.0,0.11688311688311688,42,45,51,62
370895,370895,249370,386152,i would like to start watching doctor who  where should i start,as a new viewer  from which season should i start watching doctor who,1,63,69,13,14,7,25,0.28,0.4444395062277086,0.4444395062277086,0.49997500124993743,0.24999375015624611,0.4166631944733794,0.38461242605826107,0,0,1,12.5,0.35384615384615387,53,64,65,77
119838,119838,34195,194481,what is the logic behind how facebook messenger lists out active friends,can people who are not friends see your last active time on messenger,0,72,69,12,13,3,25,0.12,0.124998437519531,0.124998437519531,0.0,0.0,0.08333263889467588,0.08333263889467588,0,0,0,12.0,0.14285714285714285,37,31,60,60
35957,35957,65627,65628,how heaven is described in  the bible,how is heaven described according the bible,1,37,43,8,7,6,15,0.4,0.5999880002399952,0.5999880002399952,0.49997500124993743,0.49997500124993743,0.5714204082798817,0.5714204082798817,0,1,0,7.0,0.275,82,78,84,96
371204,371204,501815,501816,how do i make video calls from my panasonic eluga a2 phone,what and when do islamic clerics  preach,0,58,40,12,8,1,20,0.05,0.0,0.0,0.3333222225925802,0.3333222225925802,0.14285510206997043,0.08333263889467588,0,0,5,9.5,0.11627906976744186,33,36,37,37
224223,224223,22629,114455,what is it really like to be shot,what does it feel like to be shot,1,33,33,8,8,6,16,0.38,0.7499812504687383,0.7499812504687383,0.7499812504687383,0.7499812504687383,0.7499906251171861,0.7499906251171861,1,1,0,8.0,0.4857142857142857,85,85,76,85
251641,251641,365803,365804,what should i do with an old computer,what should i do with old computer mouse,0,37,40,8,8,7,16,0.44,0.7499812504687383,0.5999880002399952,0.9999666677777407,0.7499812504687383,0.7499906251171861,0.7499906251171861,0,1,0,8.0,0.5641025641025641,88,89,88,96
240055,240055,351801,351802,why do boys musterbate,why does guys musterbate,1,22,24,4,4,2,8,0.25,0.6666444451851604,0.6666444451851604,0.0,0.0,0.49998750031249223,0.49998750031249223,1,1,0,4.0,0.5833333333333334,87,83,78,78
335472,335472,462742,462743,why do nylon clothes crackle with static when you undress,how do i join nylon sheets in an easy way,0,57,41,10,10,2,20,0.1,0.1666638889351844,0.14285510206997043,0.3333222225925802,0.24999375015624611,0.19999800001999982,0.19999800001999982,0,0,0,10.0,0.16279069767441862,43,45,35,37
